sheet_name,rows,cols,header_row_index,year_count,first_year,last_year,entity_row_count,sample_entities,top_entities_latest_year,has_growth_info,has_share_info
Coal inputs - Elec generation ,65,44,2.0,40,1985.0,2024.0,52,"['Canada', 'Mexico', 'US', 'Total North America', 'Argentina', 'Brazil', 'Other S. & Cent. America', 'Total S. & Cent. America', 'France', 'Germany']","[{'entity': 'Total World', 'value': 10613.247022143954}, {'entity': 'Non-OECD', 'value': 8805.620746737684}, {'entity': 'Total Asia Pacific', 'value': 8776.034418102072}, {'entity': 'China', 'value': 5827.603429425378}, {'entity': 'of which: OECD', 'value': 1807.6262754062705}]",True,True
Other inputs - Elec generation,65,44,2.0,40,1985.0,2024.0,52,"['Canada', 'Mexico', 'US', 'Total North America', 'Argentina', 'Brazil', 'Other S. & Cent. America', 'Total S. & Cent. America', 'France', 'Germany']","[{'entity': 'Total World', 'value': 261.2016256406798}, {'entity': 'of which: OECD', 'value': 157.36721446236464}, {'entity': 'Total Asia Pacific', 'value': 151.30241277549743}, {'entity': 'Non-OECD', 'value': 103.8344111783151}, {'entity': 'Total Europe', 'value': 85.4911649058602}]",True,True
Grid Scale BESS Capacity,42,16,2.0,12,2013.0,2024.0,30,"['Canada', 'Mexico', 'US', 'Total North America', 'Chile', 'Other S. & Cent. America', 'Total S. & Cent. America', 'Germany', 'Ireland', 'United Kingdom']","[{'entity': 'Total World', 'value': 126.14013344085248}, {'entity': 'Total Asia Pacific', 'value': 85.1938483260428}, {'entity': 'Non-OECD', 'value': 78.56893832902287}, {'entity': 'China', 'value': 75.2033983314862}, {'entity': 'of which: OECD', 'value': 47.57119511182961}]",True,True
Cobalt P-R,22,38,2.0,30,1995.0,2024.0,18,"['Australia', 'Canada', 'China', 'DR Congo', 'Cuba', 'Madagascar', 'Morocco', 'New Caledonia', 'Papua New Guinea', 'Philippines']","[{'entity': 'Total World', 'value': 270.8159592890995}, {'entity': 'DR Congo', 'value': 200.779}, {'entity': 'Rest of World', 'value': 34.087}, {'entity': 'Russian Federation', 'value': 8.7}, {'entity': 'Canada', 'value': 4.5}]",True,True
Lithium P-R,17,38,2.0,30,1995.0,2024.0,13,"['Argentina', 'Australia', 'Brazil', 'Chile', 'China', 'Portugal', 'US', 'Zimbabwe', 'Rest of World', 'Total World']","[{'entity': 'Total World', 'value': 244.63680067818197}, {'entity': 'Australia', 'value': 88.0}, {'entity': 'Chile', 'value': 56.92843434782608}, {'entity': 'China', 'value': 40.99999999999999}, {'entity': 'Zimbabwe', 'value': 22.0}]",True,True
Natural Graphite P-R,22,38,2.0,30,1995.0,2024.0,18,"['Brazil1', 'Canada', 'China', 'India2', 'Madagascar', 'Mexico', 'Mozambique', 'Norway', 'Russian Federation', 'Sri Lanka']","[{'entity': 'Total World', 'value': 1728.3220000000001}, {'entity': 'China', 'value': 1270.0}, {'entity': 'India2', 'value': 116.37899999999999}, {'entity': 'Madagascar', 'value': 89.0}, {'entity': 'Rest of World', 'value': 71.068}]",True,True
Rare Earth metals P-R,19,38,2.0,30,1995.0,2024.0,15,"['Australia', 'Brazil', 'China', 'India', 'Madagascar', 'Russian Federation', 'Thailand', 'US', 'Rest of World', 'Total World']","[{'entity': 'Total World', 'value': 379.8499999999999}, {'entity': 'China', 'value': 269.99999999999994}, {'entity': 'US', 'value': 45.0}, {'entity': 'Rest of World', 'value': 31.43}, {'entity': 'Australia', 'value': 13.0}]",True,True
Copper P-R,18,18,2.0,11,2014.0,2024.0,13,"['Australia', 'Chile', 'China', 'Democratic Republic of Congo', 'Indonesia', 'Peru', 'US', 'Rest of World', 'Total World', 'Sources: includes data from US Geological Survey and Kearney Energy Transition Institute']","[{'entity': 'Total World', 'value': 22610.0}, {'entity': 'Rest of World', 'value': 6610.0}, {'entity': 'Chile', 'value': 5300.0}, {'entity': 'Democratic Republic of Congo', 'value': 3300.0}, {'entity': 'Peru', 'value': 2600.0}]",True,True
Manganese P-R,16,18,2.0,11,2014.0,2024.0,12,"['Australia', 'China', 'Gabon', 'Ghana', 'India', 'South Africa', 'Rest of World', 'Total World', 'Sources: includes data from US Geological Survey and Kearney Energy Transition Institute', '^ less than 0.05']","[{'entity': 'Total World', 'value': 21050.0}, {'entity': 'South Africa', 'value': 7400.0}, {'entity': 'Gabon', 'value': 4600.0}, {'entity': 'Rest of World', 'value': 3860.0}, {'entity': 'Australia', 'value': 2800.0}]",True,True
Nickel P-R,18,19,2.0,12,2013.0,2024.0,13,"['Australia', 'Canada', 'China', 'Indonesia', 'New Caledonia', 'Philippines', 'Russian Federation', 'Rest of World', 'Total World', 'Sources: includes data from US Geological Survey and Kearney Energy Transition Institute']","[{'entity': 'Total World', 'value': 3822.904}, {'entity': 'Indonesia', 'value': 2200.0}, {'entity': 'Rest of World', 'value': 552.904}, {'entity': 'Philippines', 'value': 330.0}, {'entity': 'Russian Federation', 'value': 210.0}]",True,True
Zinc P-R,16,19,2.0,12,2013.0,2024.0,12,"['Australia', 'China', 'India', 'Mexico', 'Peru', 'US', 'Rest of World', 'Total World', 'Sources: includes data from US Geological Survey and Kearney Energy Transition Institute', '^ less than 0.05']","[{'entity': 'Total World', 'value': 11960.0}, {'entity': 'China', 'value': 4000.0}, {'entity': 'Rest of World', 'value': 3250.0}, {'entity': 'Peru', 'value': 1300.0}, {'entity': 'Australia', 'value': 1100.0}]",True,True
Platinum Group Metals P-R,16,18,2.0,11,2014.0,2024.0,12,"['Canada', 'Russia', 'South Africa', 'United States', 'Zimbabwe', 'Rest of World', 'Total World', 'Sources: includes data from US Geological Survey and Kearney Energy Transition Institute', '*Platinum and Palladium', '^ less than 0.05']","[{'entity': 'Total World', 'value': 358.0}, {'entity': 'South Africa', 'value': 192.0}, {'entity': 'Russia', 'value': 93.0}, {'entity': 'Zimbabwe', 'value': 34.0}, {'entity': 'Canada', 'value': 20.2}]",True,True
Bauxite P-R,18,18,2.0,11,2014.0,2024.0,14,"['Australia', 'Brazil', 'China', 'Guinea', 'India', 'Indonesia', 'Vietnam', 'Rest of World', 'Total World', 'Sources: includes data from US Geological Survey and Kearney Energy Transition Institute']","[{'entity': 'Total World', 'value': 450485.0}, {'entity': 'Guinea', 'value': 130000.0}, {'entity': 'Australia', 'value': 100000.0}, {'entity': 'China', 'value': 93000.0}, {'entity': 'Rest of World', 'value': 33285.0}]",True,True
Aluminium P-R,15,17,2.0,11,2014.0,2024.0,11,"['Australia', 'Canada', 'China', 'India', 'Russian Federation', 'United Arab Emirates', 'Rest of World', 'Total World', 'Sources: includes data from US Geological Survey and Kearney Energy Transition Institute', '^ less than 0.05']","[{'entity': 'Total World', 'value': 71620.0}, {'entity': 'China', 'value': 43000.0}, {'entity': 'Rest of World', 'value': 13120.0}, {'entity': 'India', 'value': 4200.0}, {'entity': 'Russian Federation', 'value': 3800.0}]",True,True
Tin P-R,18,18,2.0,11,2014.0,2024.0,14,"['Australia', 'Bolivia', 'Brazil', 'Burma', 'China', 'Democratic Republic of Congo', 'Indonesia', 'Rest of World', 'Total World', 'Sources: includes data from US Geological Survey and Kearney Energy Transition Institute']","[{'entity': 'Total World', 'value': 295.5}, {'entity': 'China', 'value': 69.0}, {'entity': 'Rest of World', 'value': 57.6}, {'entity': 'Indonesia', 'value': 50.0}, {'entity': 'Burma', 'value': 34.0}]",True,True
Vanadium P-R,16,18,2.0,11,2014.0,2024.0,12,"['Australia', 'Brazil', 'China', 'Russia', 'South Africa', 'Rest of World', 'Total World', 'Sources: includes data from US Geological Survey and Kearney Energy Transition Institute', '^ less than 0.05', '♦ less than 0.05%']","[{'entity': 'China', 'value': 70.0}, {'entity': 'Russia', 'value': 21.0}, {'entity': 'South Africa', 'value': 8.0}, {'entity': 'Rest of World', 'value': nan}, {'entity': 'Total World', 'value': 104.0}]",True,True
Mineral Commodity Prices,41,13,,0,,,0,[],[],False,False
Primary Energy Cons (old meth),122,64,2.0,60,1965.0,2024.0,110,"['Canada', 'Mexico', 'US', 'Total North America', 'Argentina', 'Brazil', 'Chile', 'Colombia', 'Ecuador', 'Peru']","[{'entity': 'Total World', 'value': 636.2535628094889}, {'entity': 'Non-OECD', 'value': 403.3697874740051}, {'entity': 'Total Asia Pacific', 'value': 301.49329360796474}, {'entity': 'of which: OECD', 'value': 232.88377533548373}, {'entity': 'China', 'value': 176.35355576314032}]",True,True
PE Cons by fuel (old meth) ,98,16,,0,,,0,[],[],False,False
Approximate conversion factors,57,12,,0,,,0,[],[],False,False
Definitions,70,12,,0,,,0,[],[],False,False
